x-axis,1,2
second,Volt,Volt
-2.260000E-03,,
-2.257500E-03,+54.986181E-03,-10.377789789E+00
-2.255000E-03,+55.312029E-03,-10.379176933E+00
-2.252500E-03,+54.819985E-03,-10.379176933E+00
-2.250000E-03,+54.071713E-03,-10.373654530E+00
-2.247500E-03,+53.433888E-03,-10.373602185E+00
-2.245000E-03,+52.877984E-03,-10.342404530E+00
-2.242500E-03,+53.253821E-03,-10.351407880E+00
-2.240000E-03,+53.029522E-03,-10.376507335E+00
-2.237500E-03,+53.877774E-03,-10.359076431E+00
-2.235000E-03,+54.375576E-03,-10.378417930E+00
-2.232500E-03,+54.383166E-03,-10.379176933E+00
-2.230000E-03,+55.130130E-03,-10.396424630E+00
-2.227500E-03,+55.265180E-03,-10.359076431E+00
-2.225000E-03,+54.834642E-03,-10.364023039E+00
-2.222500E-03,+54.383166E-03,-10.355019689E+00
-2.220000E-03,+53.579146E-03,-10.359076431E+00
-2.217500E-03,+53.378141E-03,-10.357113491E+00
-2.215000E-03,+53.012772E-03,-10.370042721E+00
-2.212500E-03,+53.379449E-03,-10.359207294E+00
-2.210000E-03,+53.756595E-03,-10.338975929E+00
-2.207500E-03,+53.981156E-03,-10.361301096E+00
-2.205000E-03,+54.182161E-03,-10.352533299E+00
-2.202500E-03,+55.072550E-03,-10.343294396E+00
-2.200000E-03,+55.187186E-03,-10.363761314E+00
-2.197500E-03,+54.849298E-03,-10.365488701E+00
-2.195000E-03,+54.383166E-03,-10.361667511E+00
-2.192500E-03,+53.695090E-03,-10.367582503E+00
-2.190000E-03,+53.177136E-03,-10.359076431E+00
-2.187500E-03,+53.378141E-03,-10.368577059E+00
-2.185000E-03,+53.378141E-03,-10.377580409E+00
-2.182500E-03,+53.600345E-03,-10.359076431E+00
-2.180000E-03,+54.182161E-03,-10.375486607E+00
-2.177500E-03,+54.477910E-03,-10.379176933E+00
-2.175000E-03,+54.785176E-03,-10.379176933E+00
-2.172500E-03,+55.154994E-03,-10.359076431E+00
-2.170000E-03,+54.942734E-03,-10.359076431E+00
-2.167500E-03,+54.572917E-03,-10.359076431E+00
-2.165000E-03,+53.579146E-03,-10.379176933E+00
-2.162500E-03,+53.177136E-03,-10.360044815E+00
-2.160000E-03,+53.136830E-03,-10.379176933E+00
-2.157500E-03,+53.548524E-03,-10.362138617E+00
-2.155000E-03,+53.579146E-03,-10.353135267E+00
-2.152500E-03,+54.032716E-03,-10.379176933E+00
-2.150000E-03,+54.096576E-03,-10.342823290E+00
-2.147500E-03,+55.058679E-03,-10.366326222E+00
